name    idd
bablu   5,000
kaka    11
fufu    43
yoyo    35
popop   3
didi    53
ruru    4
tutut   9
hlo    4735
ffg 3525
bs  2
bnd 6
qg  25
bablu   5,000
kaka    11
fufu    43
yoyo    35
popop   3
didi    53
ruru    4
tutut   9
bablu   5,000
kaka    11
fufu    43
yoyo    35
popop   3
didi    53
bablu   5,000
kaka    11
fufu    43
yoyo    35
popop   3
didi    53
ruru    4
tutut   9
hlo    4735
ffg 3525
bs  2
bnd 6
qg  25
bablu   5,000
kaka    11
fufu    43
yoyo    35
popop   3
didi    53
ruru    4
tutut   9
ruru    4
tutut   9
tutut   9
tutut   9
tutut   9
bablu   5,000
kaka    11
fufu    
yoyo    
popop   3
fufu    43
yoyo    35
sgsb    9
